Model	Displ	Cyl	Trans	Drive	Fuel	Sales Area	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay 
CHRYSLER Aspen	4.7	8	Auto-L5	2WD	ethanol/gas	FC	B5	Bin 5	9CRXT04.71PA	SUV	6/6	9/14	13/19	10/15	1/2	no
CHRYSLER Aspen	4.7	8	Auto-L5	4WD	ethanol/gas	FC	B5	Bin 5	9CRXT04.71PA	SUV	6/6	9/13	12/18	10/15	1/2	no
CHRYSLER Aspen	5.7	8	Auto-L5	2WD	Gasoline	FA	B5	Bin 5	9CRXT05.74P0	SUV	6	14	20	16	3	no
CHRYSLER Aspen	5.7	8	Auto-L5	4WD	Gasoline	FA	B5	Bin 5	9CRXT05.74P0	SUV	6	13	19	15	2	no
CHRYSLER Aspen	5.7	8	Auto-L5	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXT05.74P0	SUV	6	14	20	16	3	no
CHRYSLER Aspen	5.7	8	Auto-L5	4WD	Gasoline	CA	L2	LEV-II LEV	9CRXT05.74P0	SUV	6	13	19	15	2	no
CHRYSLER Aspen Hybrid	5.7	8	CVT	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	9CRXT05.71PH	SUV	6	20	22	21	5	no
CHRYSLER Aspen Hybrid	5.7	8	CVT	4WD	Gasoline	CA	L2	California LEV-II LEV	9CRXT05.71PH	SUV	6	20	22	21	5	no
CHRYSLER PT Cruiser	2.4	4	Auto-L4	2WD	Gasoline	CA	U2	LEV-II ULEV	9CRXV02.4CR0	SUV	7	19	24	21	5	no
CHRYSLER PT Cruiser	2.4	4	Auto-L4	2WD	Gasoline	FA	B5	Bin 5	9CRXV02.41P0	SUV	6	18	24	21	5	no
CHRYSLER PT Cruiser	2.4	4	Auto-L4	2WD	Gasoline	FA	B5	Bin 5	9CRXV02.42P1	SUV	6	19	24	21	5	no
CHRYSLER PT Cruiser	2.4	4	Man-5	2WD	Gasoline	FA	B5	Bin 5	9CRXV02.42P1	SUV	6	21	26	23	6	no
CHRYSLER PT Cruiser	2.4	4	Auto-L4	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXV02.41P0	SUV	6	18	24	21	5	no
CHRYSLER PT Cruiser	2.4	4	Auto-L4	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXV02.42P1	SUV	6	19	24	21	5	no
CHRYSLER PT Cruiser	2.4	4	Man-5	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXV02.42P1	SUV	6	21	26	23	6	no
CHRYSLER Sebring	2.4	4	Auto-L4	2WD	Gasoline	CA	S2	LEV-II SULEV	9CRXJ02.4FR0	midsize car	9.5	21	30	24	7	yes
CHRYSLER Sebring	2.4	4	Auto-L4	2WD	Gasoline	FC	B4	Bin 4	9CRXV02.4UP0	midsize car	7	21	30	24	7	yes
CHRYSLER Sebring	3.5	6	Auto-L6	2WD	Gasoline	CA	U2	LEV-II ULEV	9CRXJ04.0CR0	midsize car	7	16	27	20	5	no
CHRYSLER Sebring	2.7	6	Auto-L4	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXV02.7BR0	midsize car	6	19	27	22	6	no
CHRYSLER Sebring	3.5	6	Auto-L6	2WD	Gasoline	FA	B5	Bin 5	9CRXJ04.0TN0	midsize car	6	16	27	20	5	no
CHRYSLER Sebring	2.7	6	Auto-L4	2WD	ethanol/gas	FA	B8	Bin 8	9CRXV02.7JNA	midsize car	3/3	13/19	20/27	16/22	6/6	no
CHRYSLER Sebring Convertible	2.4	4	Auto-L4	2WD	Gasoline	FC	B4	Bin 4	9CRXV02.4UP0	small car	7	20	29	23	6	yes
CHRYSLER Sebring Convertible	3.5	6	Auto-L6	2WD	Gasoline	CA	U2	LEV-II ULEV	9CRXJ04.0CR0	small car	7	16	27	20	5	no
CHRYSLER Sebring Convertible	2.7	6	Auto-L4	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXV02.7BR0	small car	6	18	26	21	5	no
CHRYSLER Sebring Convertible	3.5	6	Auto-L6	2WD	Gasoline	FA	B5	Bin 5	9CRXJ04.0TN0	small car	6	16	27	20	5	no
CHRYSLER Sebring Convertible	2.7	6	Auto-L4	2WD	ethanol/gas	FA	B8	Bin 8	9CRXV02.7JNA	small car	3/3	12/18	19/26	15/21	5/5	no
CHRYSLER Town & Country	3.8	6	Auto-L6	2WD	Gasoline	CA	U2	LEV-II ULEV	9CRXT03.8YP0	minivan	7	16	23	18	4	no
CHRYSLER Town & Country	4	6	Auto-L6	2WD	Gasoline	CA	U2	LEV-II ULEV	9CRXJ04.0CR0	minivan	7	17	25	20	5	no
CHRYSLER Town & Country	3.3	6	Auto-L4	2WD	ethanol/gas	FC	B5	Bin 5	9CRXT03.3TPA	minivan	6/6	11/17	16/24	13/19	4/4	no
CHRYSLER Town & Country	3.8	6	Auto-L6	2WD	Gasoline	FA	B5	Bin 5	9CRXT03.8YP0	minivan	6	16	23	18	4	no
CHRYSLER Town & Country	4	6	Auto-L6	2WD	Gasoline	FA	B5	Bin 5	9CRXJ04.0TN0	minivan	6	17	25	20	5	no
DODGE Avenger	2.4	4	Auto-L4	2WD	Gasoline	CA	S2	LEV-II SULEV	9CRXJ02.4FR0	midsize car	9.5	21	30	24	7	yes
DODGE Avenger	2.4	4	Auto-L4	2WD	Gasoline	FC	B4	Bin 4	9CRXV02.4UP0	midsize car	7	21	30	24	7	yes
DODGE Avenger	3.5	6	Auto-L6	2WD	Gasoline	CA	U2	LEV-II ULEV	9CRXJ04.0CR0	midsize car	7	16	27	20	5	no
DODGE Avenger	2.7	6	Auto-L4	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXV02.7BR0	midsize car	6	19	27	22	6	no
DODGE Avenger	3.5	6	Auto-L6	2WD	Gasoline	FA	B5	Bin 5	9CRXJ04.0TN0	midsize car	6	16	27	20	5	no
DODGE Avenger	2.7	6	Auto-L4	2WD	ethanol/gas	FA	B8	Bin 8	9CRXV02.7JNA	midsize car	3/3	13/19	20/27	16/22	6/6	no
DODGE Caliber	2.4	4	Auto-AV	2WD	Gasoline	CA	S2	LEV-II SULEV	9CRXJ02.4FR0	midsize car	9.5	21	25	23	6	yes
DODGE Caliber	2	4	Auto-AV	2WD	Gasoline	CA	U2	LEV-II ULEV	9CRXJ02.43P0	midsize car	7	23	27	24	7	yes
DODGE Caliber	2.4	4	Man-5	2WD	Gasoline	CA	U2	LEV-II ULEV	9CRXJ02.43P1	midsize car	7	23	29	25	7	yes
DODGE Caliber	1.8	4	Man-5	2WD	Gasoline	FA	B5	Bin 5	9CRXV01.81P0	midsize car	6	24	30	27	7	yes
DODGE Caliber	1.8	4	Man-5	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXV01.81P0	midsize car	6	24	30	27	7	yes
DODGE Caliber	2	4	Auto-AV	2WD	Gasoline	FA	B5	Bin 5	9CRXJ02.43P0	midsize car	6	23	27	24	7	yes
DODGE Caliber	2.4	4	Man-6	2WD	Gasoline	FA	B5	Bin 5	9CRXV02.42P0	midsize car	6	19	27	22	6	no
DODGE Caliber	2.4	4	Man-5	2WD	Gasoline	FA	B5	Bin 5	9CRXJ02.43P1	midsize car	6	23	29	25	7	yes
DODGE Caliber	2.4	4	Man-6	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXV02.42P0	midsize car	6	19	27	22	6	no
DODGE Caravan	3.8	6	Auto-L6	2WD	Gasoline	CA	U2	LEV-II ULEV	9CRXT03.8YP0	minivan	7	16	23	18	4	no
DODGE Caravan	4	6	Auto-L6	2WD	Gasoline	CA	U2	LEV-II ULEV	9CRXJ04.0CR0	minivan	7	17	25	20	5	no
DODGE Caravan	3.3	6	Auto-L4	2WD	ethanol/gas	FC	B5	Bin 5	9CRXT03.3TPA	minivan	6/6	11/17	16/24	13/19	4/4	no
DODGE Caravan	3.8	6	Auto-L6	2WD	Gasoline	FA	B5	Bin 5	9CRXT03.8YP0	minivan	6	16	23	18	4	no
DODGE Caravan	4	6	Auto-L6	2WD	Gasoline	FA	B5	Bin 5	9CRXJ04.0TN0	minivan	6	17	25	20	5	no
DODGE Challenger	3.5	6	Auto-5	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	9CRXV03.5TN0	small car	6	18	25	20	5	no
DODGE Challenger	3.5	6	Auto-L4	2WD	Gasoline	CA	U2	LEV-II ULEV	9CRXV03.5CR0	small car	7	17	25	20	5	no
DODGE Challenger	5.7	8	Auto-L5	2WD	Gasoline	FC	B4	Bin 4	9CRXV05.7UP0	small car	7	16	25	19	4	no
DODGE Challenger	3.5	6	Auto-L4	2WD	Gasoline	FA	B5	Bin 5	9CRXV03.5TN0	small car	6	17	25	20	5	no
DODGE Challenger	5.7	8	Man-6	2WD	Gasoline	FA	B5	Bin 5	9CRXV05.71P0	small car	6	16	25	19	4	no
DODGE Challenger	5.7	8	Man-6	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXV05.71P0	small car	6	16	25	19	4	no
DODGE Challenger	6.1	8	Auto-L5	2WD	Gasoline	FA	B5	Bin 5	9CRXV06.11P0	small car	6	13	19	15	2	no
DODGE Challenger	6.1	8	Man-6	2WD	Gasoline	FA	B5	Bin 5	9CRXV06.11P0	small car	6	14	22	16	3	no
DODGE Challenger	6.1	8	Auto-L5	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXV06.11P0	small car	6	13	19	15	2	no
DODGE Challenger	6.1	8	Man-6	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXV06.11P0	small car	6	14	22	16	3	no
DODGE Charger	3.5	6	Auto-L5	2WD	Gasoline	CA	U2	LEV-II ULEV	9CRXV03.5CR0	large car	7	16	25	19	4	no
DODGE Charger	3.5	6	Auto-L5	4WD	Gasoline	CA	U2	LEV-II ULEV	9CRXV03.5CR0	large car	7	17	23	19	4	no
DODGE Charger	3.5	6	Auto-L4	2WD	Gasoline	CA	U2	LEV-II ULEV	9CRXV03.5CR0	large car	7	17	25	20	5	no
DODGE Charger	5.7	8	Auto-L5	4WD	Gasoline	FC	B4	Bin 4	9CRXV05.7UP0	large car	7	16	23	18	4	no
DODGE Charger	5.7	8	Auto-L5	2WD	Gasoline	FC	B4	Bin 4	9CRXV05.7UP0	large car	7	16	25	19	4	no
DODGE Charger	2.7	6	Auto-L4	2WD	Gasoline	FA	B5	Bin 5	9CRXV02.72P0	large car	6	18	26	21	5	no
DODGE Charger	2.7	6	Auto-L4	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXV02.72P0	large car	6	18	26	21	5	no
DODGE Charger	3.5	6	Auto-L5	2WD	Gasoline	FA	B5	Bin 5	9CRXV03.5TN0	large car	6	16	25	19	4	no
DODGE Charger	3.5	6	Auto-L5	4WD	Gasoline	FA	B5	Bin 5	9CRXV03.5TN0	large car	6	17	23	19	4	no
DODGE Charger	3.5	6	Auto-L4	2WD	Gasoline	FA	B5	Bin 5	9CRXV03.5TN0	large car	6	17	25	20	5	no
DODGE Charger	6.1	8	Auto-L5	2WD	Gasoline	FA	B5	Bin 5	9CRXV06.11P0	large car	6	13	19	15	2	no
DODGE Charger	6.1	8	Auto-L5	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXV06.11P0	large car	6	13	19	15	2	no
DODGE Dakota	3.7	6	Auto-L4	2WD	Gasoline	CA	U2	LEV-II ULEV	9CRXT03.7CR1	pickup	7	15	20	17	3	no
DODGE Dakota	3.7	6	Auto-L4	4WD	Gasoline	CA	U2	LEV-II ULEV	9CRXT03.7CR1	pickup	7	14	18	15	2	no
DODGE Dakota	4.7	8	Auto-L5	2WD	ethanol/gas	FC	B5	Bin 5	9CRXT04.71PA	pickup	6/6	9/14	13/19	10/15	1/2	no
DODGE Dakota	4.7	8	Auto-L5	4WD	ethanol/gas	FC	B5	Bin 5	9CRXT04.71PA	pickup	6/6	9/14	12/19	10/15	1/2	no
DODGE Dakota	3.7	6	Auto-L4	2WD	Gasoline	FA	B5	Bin 5	9CRXT03.71P0	pickup	6	15	20	17	3	no
DODGE Dakota	3.7	6	Man-6	2WD	Gasoline	FA	B5	Bin 5	9CRXT03.71P0	pickup	6	16	20	18	4	no
DODGE Dakota	3.7	6	Auto-L4	4WD	Gasoline	FA	B5	Bin 5	9CRXT03.71P0	pickup	6	14	18	15	2	no
DODGE Dakota	3.7	6	Man-6	4WD	Gasoline	FA	B5	Bin 5	9CRXT03.71P0	pickup	6	15	19	16	3	no
DODGE Dakota	3.7	6	Auto-L4	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXT03.71P0	pickup	6	15	20	17	3	no
DODGE Dakota	3.7	6	Man-6	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXT03.71P0	pickup	6	16	20	18	4	no
DODGE Dakota	3.7	6	Auto-L4	4WD	Gasoline	CA	L2	LEV-II LEV	9CRXT03.71P0	pickup	6	14	18	15	2	no
DODGE Dakota	3.7	6	Man-6	4WD	Gasoline	CA	L2	LEV-II LEV	9CRXT03.71P0	pickup	6	15	19	16	3	no
DODGE Durango	3.7	6	Auto-L4	2WD	Gasoline	CA	U2	LEV-II ULEV	9CRXT03.7CR1	SUV	7	14	20	16	3	no
DODGE Durango	4.7	8	Auto-L5	2WD	ethanol/gas	FC	B5	Bin 5	9CRXT04.71PA	SUV	6/6	9/14	13/19	10/15	1/2	no
DODGE Durango	4.7	8	Auto-L5	4WD	ethanol/gas	FC	B5	Bin 5	9CRXT04.71PA	SUV	6/6	9/13	12/18	10/15	1/2	no
DODGE Durango	3.7	6	Auto-L4	2WD	Gasoline	FA	B5	Bin 5	9CRXT03.71P0	SUV	6	14	20	16	3	no
DODGE Durango	5.7	8	Auto-L5	2WD	Gasoline	FA	B5	Bin 5	9CRXT05.74P0	SUV	6	14	20	16	3	no
DODGE Durango	5.7	8	Auto-L5	4WD	Gasoline	FA	B5	Bin 5	9CRXT05.74P0	SUV	6	13	19	15	2	no
DODGE Durango	5.7	8	Auto-L5	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXT05.74P0	SUV	6	14	20	16	3	no
DODGE Durango	5.7	8	Auto-L5	4WD	Gasoline	CA	L2	LEV-II LEV	9CRXT05.74P0	SUV	6	13	19	15	2	no
DODGE Durango Hybrid	5.7	8	CVT	4WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	9CRXT05.71PH	SUV	6	20	22	21	5	no
DODGE Durango Hybrid	5.7	8	CVT	4WD	Gasoline	CA	L2	California LEV-II LEV	9CRXT05.71PH	SUV	6	20	22	21	5	no
DODGE Journey	2.4	4	Auto-L4	2WD	Gasoline	CA	S2	LEV-II SULEV	9CRXJ02.4FR0	SUV	9.5	19	25	21	5	no
DODGE Journey	3.5	6	Auto-L6	2WD	Gasoline	CA	U2	LEV-II ULEV	9CRXJ04.0CR0	SUV	7	16	23	18	4	no
DODGE Journey	3.5	6	Auto-L6	4WD	Gasoline	CA	U2	LEV-II ULEV	9CRXJ04.0CR0	SUV	7	15	22	17	3	no
DODGE Journey	3.5	6	Auto-L6	2WD	Gasoline	FA	B5	Bin 5	9CRXJ04.0TN0	SUV	6	16	23	18	4	no
DODGE Journey	3.5	6	Auto-L6	4WD	Gasoline	FA	B5	Bin 5	9CRXJ04.0TN0	SUV	6	15	22	17	3	no
DODGE Nitro	3.7	6	Auto-L4	2WD	Gasoline	CA	U2	LEV-II ULEV	9CRXT03.7DR0	SUV	7	16	22	18	4	no
DODGE Nitro	3.7	6	Auto-L4	4WD	Gasoline	CA	U2	LEV-II ULEV	9CRXT03.7DR0	SUV	7	15	21	17	3	no
DODGE Nitro	3.7	6	Auto-L4	2WD	Gasoline	FA	B5	Bin 5	9CRXT03.74P0	SUV	6	16	22	18	4	no
DODGE Nitro	3.7	6	Auto-L4	4WD	Gasoline	FA	B5	Bin 5	9CRXT03.74P0	SUV	6	15	21	17	3	no
DODGE Nitro	4	6	Auto-L5	2WD	Gasoline	FA	B5	Bin 5	9CRXT04.02P0	SUV	6	16	21	18	4	no
DODGE Nitro	4	6	Auto-L5	4WD	Gasoline	FA	B5	Bin 5	9CRXT04.02P0	SUV	6	16	20	17	3	no
DODGE Nitro	4	6	Auto-L5	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXT04.02P0	SUV	6	16	21	18	4	no
DODGE Nitro	4	6	Auto-L5	4WD	Gasoline	CA	L2	LEV-II LEV	9CRXT04.02P0	SUV	6	16	20	17	3	no
DODGE RAM 1500	3.7	6	Auto-L4	2WD	Gasoline	CA	U2	LEV-II ULEV	9CRXT03.7CR1	pickup	7	14	20	16	3	no

DODGE RAM 1500	4.7	8	Auto-L5	2WD	ethanol/gas	FC	B5	Bin 5	9CRXT04.71PA	pickup	6/6	9/14	13/19	10/15	1/2	no
DODGE RAM 1500	4.7	8	Auto-L5	4WD	ethanol/gas	FC	B5	Bin 5	9CRXT04.71PA	pickup	6/6	9/13	12/18	10/15	1/2	no
DODGE RAM 1500	3.7	6	Auto-L4	2WD	Gasoline	FA	B5	Bin 5	9CRXT03.71P0	pickup	6	14	20	16	3	no
DODGE RAM 1500	5.7	8	Auto-L5	2WD	Gasoline	FA	B5	Bin 5	9CRXT05.74P1	pickup	6	14	20	16	3	no
DODGE RAM 1500	5.7	8	Auto-L5	4WD	Gasoline	FA	B5	Bin 5	9CRXT05.74P1	pickup	6	13	18	15	2	no
DODGE RAM 2500	6.7		Auto-L6	2WD	diesel	CA	U2	LEV-II ULEV	9CEXD06.78VV	pickup	3	N/A	N/A	N/A	N/A	no
DODGE RAM 2500	6.7		Man-6	2WD	diesel	CA	U2	LEV-II ULEV	9CEXD06.78VV	pickup	3	N/A	N/A	N/A	N/A	no
DODGE RAM 2500	6.7		Auto-L6	4WD	diesel	CA	U2	LEV-II ULEV	9CEXD06.78VV	pickup	3	N/A	N/A	N/A	N/A	no
DODGE RAM 2500	6.7		Man-6	4WD	diesel	CA	U2	LEV-II ULEV	9CEXD06.78VV	pickup	3	N/A	N/A	N/A	N/A	no
DODGE RAM 2500	5.7		Auto-L5	2WD	Gasoline	FA	HDV	HEAVY DUTY	9CRXD05.78V0	pickup	2	N/A	N/A	N/A	N/A	no
DODGE RAM 2500	5.7		Auto-L5	4WD	Gasoline	FA	HDV	HEAVY DUTY	9CRXD05.78V0	pickup	2	N/A	N/A	N/A	N/A	no
DODGE RAM 2500	5.7		Auto-L5	4WD	Gasoline	FA	HDV	HEAVY DUTY	9CRXD05.78V0	special purpose	2	N/A	N/A	N/A	N/A	no
DODGE RAM 2500	5.7		Auto-L5	2WD	Gasoline	FA	HDV	HEAVY DUTY	9CRXD05.78V0	special purpose	2	N/A	N/A	N/A	N/A	no
DODGE RAM 2500	5.7		Auto-L5	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXD05.78V0	pickup	2	N/A	N/A	N/A	N/A	no
DODGE RAM 2500	5.7		Auto-L5	4WD	Gasoline	CA	L2	LEV-II LEV	9CRXD05.78V0	pickup	2	N/A	N/A	N/A	N/A	no
DODGE RAM 2500	5.7		Auto-L5	4WD	Gasoline	CA	L2	LEV-II LEV	9CRXD05.78V0	special purpose	2	N/A	N/A	N/A	N/A	no
DODGE RAM 2500	5.7		Auto-L5	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXD05.78V0	special purpose	2	N/A	N/A	N/A	N/A	no
DODGE RAM 2500	6.7		Auto-L6	2WD	diesel	FA	HDV	HEAVY DUTY	9CEXD06.78VV	pickup	2	N/A	N/A	N/A	N/A	no
DODGE RAM 2500	6.7		Man-6	2WD	diesel	FA	HDV	HEAVY DUTY	9CEXD06.78VV	pickup	2	N/A	N/A	N/A	N/A	no
DODGE RAM 2500	6.7		Auto-L6	4WD	diesel	FA	HDV	HEAVY DUTY	9CEXD06.78VV	pickup	2	N/A	N/A	N/A	N/A	no
DODGE RAM 2500	6.7		Man-6	4WD	diesel	FA	HDV	HEAVY DUTY	9CEXD06.78VV	pickup	2	N/A	N/A	N/A	N/A	no
DODGE RAM 3500	5.7		Auto-L5	4WD	Gasoline	FA	HDV	HEAVY DUTY	9CRXD05.78W0	special purpose	1	N/A	N/A	N/A	N/A	no
DODGE RAM 3500	5.7		Auto-L5	2WD	Gasoline	FA	HDV	HEAVY DUTY	9CRXD05.78W0	special purpose	1	N/A	N/A	N/A	N/A	no
DODGE RAM 3500	5.7		Auto-L5	4WD	Gasoline	CA	L2	LEV-II LEV	9CRXD05.78W0	special purpose	1	N/A	N/A	N/A	N/A	no
DODGE RAM 3500	5.7		Auto-L5	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXD05.78W0	special purpose	1	N/A	N/A	N/A	N/A	no
DODGE RAM 3500	6.7		Auto-L6	2WD	diesel	FA	HDV	HEAVY DUTY	9CEXD06.78WV	pickup	1	N/A	N/A	N/A	N/A	no
DODGE RAM 3500	6.7		Man-6	2WD	diesel	FA	HDV	HEAVY DUTY	9CEXD06.78WV	pickup	1	N/A	N/A	N/A	N/A	no
DODGE RAM 3500	6.7		Auto-L6	4WD	diesel	FA	HDV	HEAVY DUTY	9CEXD06.78WV	pickup	1	N/A	N/A	N/A	N/A	no
DODGE RAM 3500	6.7		Man-6	4WD	diesel	FA	HDV	HEAVY DUTY	9CEXD06.78WV	pickup	1	N/A	N/A	N/A	N/A	no
DODGE RAM 3500	6.7		Auto-L6	2WD	diesel	CA	L2	LEV-II LEV	9CEXD06.78WV	pickup	1	N/A	N/A	N/A	N/A	no
DODGE RAM 3500	6.7		Man-6	2WD	diesel	CA	L2	LEV-II LEV	9CEXD06.78WV	pickup	1	N/A	N/A	N/A	N/A	no
DODGE RAM 3500	6.7		Auto-L6	4WD	diesel	CA	L2	LEV-II LEV	9CEXD06.78WV	pickup	1	N/A	N/A	N/A	N/A	no
DODGE RAM 3500	6.7		Man-6	4WD	diesel	CA	L2	LEV-II LEV	9CEXD06.78WV	pickup	1	N/A	N/A	N/A	N/A	no
DODGE Viper	8.4	10	Man-6	2WD	Gasoline	FA	B5	Bin 5	9CRXV08.41P0	small car	6	13	22	16	3	no
DODGE Viper	8.4	10	Man-6	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXV08.41P0	small car	6	13	22	16	3	no
DODGE Viper Convertible	8.4	10	Man-6	2WD	Gasoline	FA	B5	Bin 5	9CRXV08.41P0	small car	6	13	22	16	3	no
DODGE Viper Convertible	8.4	10	Man-6	2WD	Gasoline	CA	L2	LEV-II LEV	9CRXV08.41P0	small car	6	13	22	16	3	no
FERRARI California	4.3	8	AutoMan-7	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	9FEXV04.3GDI	small car	6	13	19	15	2	no
FERRARI California	4.3	8	AutoMan-7	2WD	Gasoline	CA	L2	California LEV-II LEV	9FEXV04.3GDI	small car	6	13	19	15	2	no
FERRARI F430	4.3	8	Man-6	2WD	Gasoline	FA	B5	Bin 5	9FEXV04.3LEV	small car	6	11	16	13	0	no
FERRARI F430	4.3	8	Auto-6	2WD	Gasoline	FA	B5	Bin 5	9FEXV04.3LEV	small car	6	11	16	13	0	no
FERRARI F430	4.3	8	Man-6	2WD	Gasoline	CA	L2	LEV-II LEV	9FEXV04.3LEV	small car	6	11	16	13	0	no
FERRARI F430	4.3	8	Auto-6	2WD	Gasoline	CA	L2	LEV-II LEV	9FEXV04.3LEV	small car	6	11	16	13	0	no
FORD Crown Victoria FFV	4.6	8	Auto-L4	2WD	ethanol/gas	FC	B4	Bin 4	9FMXV04.6VDF	large car	7/7	12/16	17/24	14/19	5/4	yes
FORD E150 FFV	4.6		Auto-L4	2WD	ethanol/gas	FC	B8	Bin 8	9FMXT04.65HA	van	3/3	N/A	N/A	N/A	N/A	no
FORD E150 FFV	4.6		Auto-L4	2WD	ethanol/gas	FC	B8	Bin 8	9FMXT04.65HA	van	3/3	N/A	N/A	N/A	N/A	no
FORD E150 FFV	5.4		Auto-L4	2WD	ethanol/gas	FC	B8	Bin 8	9FMXT05.45H4	van	3/3	N/A	N/A	N/A	N/A	no
FORD E150 FFV	5.4		Auto-L4	2WD	ethanol/gas	FC	B8	Bin 8	9FMXT05.45H4	van	3/3	N/A	N/A	N/A	N/A	no
FORD E250 FFV	4.6		Auto-L4	2WD	ethanol/gas	FC	B8	Bin 8	9FMXT04.65HA	van	3/3	N/A	N/A	N/A	N/A	no
FORD E250 FFV	5.4		Auto-L4	2WD	ethanol/gas	FC	B8	Bin 8	9FMXT05.45H4	van	3/3	N/A	N/A	N/A	N/A	no
FORD E350	6.8		Auto-L5	2WD	Gasoline	FC	B8	Bin 8	9FMXT06.85HG	van	3	N/A	N/A	N/A	N/A	no
FORD E350	6.8		Auto-L5	2WD	Gasoline	FC	B8	Bin 8	9FMXT06.85HG	van	3	N/A	N/A	N/A	N/A	no
FORD E350 FFV	5.4		Auto-L4	2WD	ethanol/gas	FC	B8	Bin 8	9FMXT05.45H4	special purpose	3/3	N/A	N/A	N/A	N/A	no
FORD E350 FFV	5.4		Auto-L4	2WD	ethanol/gas	FC	B8	Bin 8	9FMXT05.45H4	van	3/3	N/A	N/A	N/A	N/A	no
FORD E350 FFV	5.4		Auto-L4	2WD	ethanol/gas	FC	B8	Bin 8	9FMXT05.45H4	van	3/3	N/A	N/A	N/A	N/A	no
FORD Edge	3.5	6	Auto-L6	2WD	Gasoline	CA	U2	LEV-II ULEV	9FMXT03.52EB	SUV	7	17	24	19	4	no
FORD Edge	3.5	6	Auto-L6	4WD	Gasoline	CA	U2	LEV-II ULEV	9FMXT03.52EB	SUV	7	15	22	18	4	no
FORD Edge	3.5	6	Auto-L6	2WD	Gasoline	FA	B5	Bin 5	9FMXT03.52EB	SUV	6	17	24	19	4	no
FORD Edge	3.5	6	Auto-L6	4WD	Gasoline	FA	B5	Bin 5	9FMXT03.52EB	SUV	6	15	22	18	4	no
FORD Escape	2.5	4	Auto-L6	2WD	Gasoline	CA	U2	LEV-II ULEV	9FMXT02.51EK	SUV	7	20	28	23	6	yes
FORD Escape	2.5	4	Man-5	2WD	Gasoline	CA	U2	LEV-II ULEV	9FMXT02.51EK	SUV	7	22	28	24	7	yes
FORD Escape	2.5	4	Auto-L6	4WD	Gasoline	CA	U2	LEV-II ULEV	9FMXT02.51EK	SUV	7	19	25	21	5	no
FORD Escape	3	6	Auto-L6	2WD	Gasoline	FC	B4	Bin 4	9FMXT03.01EN	SUV	7	18	26	21	5	no
FORD Escape	3	6	Auto-L6	4WD	Gasoline	FC	B4	Bin 4	9FMXT03.01EN	SUV	7	17	24	20	5	no
FORD Escape	2.5	4	Auto-L6	2WD	Gasoline	FA	B5	Bin 5	9FMXT02.51EK	SUV	6	20	28	23	6	no
FORD Escape	2.5	4	Man-5	2WD	Gasoline	FA	B5	Bin 5	9FMXT02.51EK	SUV	6	22	28	24	7	yes
FORD Escape	2.5	4	Auto-L6	4WD	Gasoline	FA	B5	Bin 5	9FMXT02.51EK	SUV	6	19	25	21	5	no
FORD Escape Hybrid	2.5	4	Auto-AV	2WD	Gasoline	CA	S2	LEV-II SULEV	9FMXT02.52ZF	SUV	9.5	34	31	32	9	yes
FORD Escape Hybrid	2.5	4	Auto-AV	4WD	Gasoline	CA	S2	LEV-II SULEV	9FMXT02.52ZF	SUV	9.5	29	27	28	8	yes
FORD Escape Hybrid	2.5	4	Auto-AV	2WD	Gasoline	FA	B3	Bin 3	9FMXT02.52ZF	SUV	8	34	31	32	9	yes
FORD Escape Hybrid	2.5	4	Auto-AV	4WD	Gasoline	FA	B3	Bin 3	9FMXT02.52ZF	SUV	8	29	27	28	8	yes
FORD Expedition FFV	5.4	8	Auto-L6	2WD	ethanol/gas	FC	B4	Bin 4	9FMXT05.44BC	SUV	7/7	10/14	14/20	11/16	2/3	no
