Model	Displ	Cyl	Trans	Drive	Fuel	Sales Area	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay
AUDI A4	2	4	Man-6	4WD	Gasoline	CA	U2	LEV-II ULEV	9ADXV02.03UB	small car	7	22	30	25	7	yes
AUDI A4	2	4	Auto-AV	2WD	Gasoline	CA	U2	LEV-II ULEV	9ADXV02.03UB	small car	7	23	30	25	7	yes
AUDI A4	2	4	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9ADXV02.03UB	small car	6	21	27	23	6	no
AUDI A4	2	4	Man-6	4WD	Gasoline	FA	B5	Bin 5	9ADXV02.03UB	small car	6	22	30	25	7	yes
AUDI A4	2	4	Auto-AV	2WD	Gasoline	FA	B5	Bin 5	9ADXV02.03UB	small car	6	23	30	25	7	yes
AUDI A4	3.2	6	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9ADXV03.23LC	small car	6	17	26	20	5	no
AUDI A4	3.2	6	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9ADXV03.23LC	small car	6	17	26	20	5	no
AUDI A4 Avant	2	4	Auto-S6	4WD	Gasoline	CA	U2	LEV-II ULEV	9ADXV02.03UB	station wagon	7	21	27	23	6	yes
AUDI A4 Avant	2	4	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9ADXV02.03UB	station wagon	6	21	27	23	6	no
AUDI A4 Cabriolet	2	4	Auto-S6	4WD	Gasoline	CA	U2	LEV-II ULEV	9ADXV02.0352	small car	7	21	27	23	6	yes
AUDI A4 Cabriolet	2	4	Auto-AV	2WD	Gasoline	CA	U2	LEV-II ULEV	9ADXV02.0352	small car	7	23	30	25	7	yes
AUDI A4 Cabriolet	2	4	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9ADXV02.0352	small car	6	21	27	23	6	no
AUDI A4 Cabriolet	2	4	Auto-AV	2WD	Gasoline	FA	B5	Bin 5	9ADXV02.0352	small car	6	23	30	25	7	yes
AUDI A4 Cabriolet	3.1	6	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9ADXV03.1374	small car	6	17	25	20	5	no
AUDI A4 Cabriolet	3.1	6	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9ADXV03.1374	small car	6	17	25	20	5	no
AUDI A5	3.2	6	Man-6	4WD	Gasoline	FA	B5	Bin 5	9ADXV03.23LC	small car	6	16	27	20	5	no
AUDI A5	3.2	6	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9ADXV03.23LC	small car	6	17	26	20	5	no
AUDI A5	3.2	6	Man-6	4WD	Gasoline	CA	L2	LEV-II LEV	9ADXV03.23LC	small car	6	16	27	20	5	no
AUDI A5	3.2	6	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9ADXV03.23LC	small car	6	17	26	20	5	no
AUDI A6	4.2	8	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9ADXV04.2365	midsize car	6	16	23	18	4	no
AUDI A6	4.2	8	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9ADXV04.2365	midsize car	6	16	23	18	4	no
AUDI A8	4.2	8	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9ADXV04.2365	midsize car	6	16	23	18	4	no
AUDI A8	4.2	8	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9ADXV04.2365	midsize car	6	16	23	18	4	no
AUDI A8 L	4.2	8	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9ADXV04.2365	large car	6	16	23	18	4	no
AUDI A8 L	4.2	8	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9ADXV04.2365	large car	6	16	23	18	4	no
AUDI A8 L	6	12	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9ADXV06.0359	large car	6	13	19	15	2	no
AUDI A8 L	6	12	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9ADXV06.0359	large car	6	13	19	15	2	no
AUDI Q7	4.2	8	Auto-S6	4WD	Gasoline	CA	U2	LEV-II ULEV	9ADXT04.23UD	SUV	7	13	18	15	2	no
AUDI Q7	3.6	6	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9VWXT03.6276	SUV	6	14	20	16	3	no
AUDI Q7	3.6	6	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9VWXT03.6276	SUV	6	14	20	16	3	no
AUDI Q7	4.2	8	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9ADXT04.23UD	SUV	6	13	18	15	2	no
AUDI R8	4.2	8	Man-6	4WD	Gasoline	FA	B5	Bin 5	9ADXV04.2375	small car	6	12	19	15	2	no
AUDI R8	4.2	8	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9ADXV04.2375	small car	6	13	18	15	2	no
AUDI R8	4.2	8	Man-6	4WD	Gasoline	CA	L2	LEV-II LEV	9ADXV04.2375	small car	6	12	19	15	2	no
AUDI R8	4.2	8	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9ADXV04.2375	small car	6	13	18	15	2	no
AUDI S4 Cabriolet	4.2	8	Man-6	4WD	Gasoline	FA	B5	Bin 5	9ADXV04.2355	small car	6	13	19	15	2	no
AUDI S4 Cabriolet	4.2	8	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9ADXV04.2355	small car	6	14	21	16	3	no
AUDI S4 Cabriolet	4.2	8	Man-6	4WD	Gasoline	CA	L2	LEV-II LEV	9ADXV04.2355	small car	6	13	19	15	2	no
AUDI S4 Cabriolet	4.2	8	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9ADXV04.2355	small car	6	14	21	16	3	no
AUDI S5	4.2	8	Man-6	4WD	Gasoline	FA	B5	Bin 5	9ADXV04.2365	small car	6	14	22	17	3	no
AUDI S5	4.2	8	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9ADXV04.2365	small car	6	16	24	19	4	no
AUDI S5	4.2	8	Man-6	4WD	Gasoline	CA	L2	LEV-II LEV	9ADXV04.2365	small car	6	14	22	17	3	no
AUDI S5	4.2	8	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9ADXV04.2365	small car	6	16	24	19	4	no
AUDI S6	5.2	10	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9ADXV05.2385	midsize car	6	14	19	16	3	no
