"Model"	"Displ"	"Cyl"	"Trans"	"Drive"	"Fuel"	"Veh.Class"	"Air.Pollution.Score"	"City.MPG"	"Hwy.MPG"	"Cmb.MPG"	"Greenhouse.Gas.Score"	"dataYear"
"AUDI A3"	2	4	"Auto-S6"	"2WD"	"Gasoline"	"station wagon"	9	22	28	24	7	"09"
"AUDI A3"	2	4	"Auto-S6"	"4WD"	"Gasoline"	"station wagon"	7	21	28	24	7	"09"
"AUDI A3"	2	4	"Man-6"	"2WD"	"Gasoline"	"station wagon"	7	21	30	24	7	"09"
"AUDI A3"	2	4	"Auto-S6"	"2WD"	"Gasoline"	"station wagon"	7	22	28	24	7	"09"
"AUDI A3"	2	4	"Auto-S6"	"4WD"	"Gasoline"	"station wagon"	6	21	28	24	7	"09"
"AUDI A3"	2	4	"Man-6"	"2WD"	"Gasoline"	"station wagon"	6	21	30	24	7	"09"
"AUDI A3"	2	4	"Auto-S6"	"2WD"	"Gasoline"	"station wagon"	6	22	28	24	7	"09"
"AUDI A3"	3.2	6	"Auto-S6"	"4WD"	"Gasoline"	"station wagon"	6	18	25	21	5	"09"
"AUDI A3"	3.2	6	"Auto-S6"	"4WD"	"Gasoline"	"station wagon"	6	18	25	21	5	"09"
"AUDI A4"	2	4	"Auto-S6"	"4WD"	"Gasoline"	"small car"	7	21	27	23	6	"09"
"AUDI A4"	2	4	"Man-6"	"4WD"	"Gasoline"	"small car"	7	22	30	25	7	"09"
"AUDI A4"	2	4	"Auto-AV"	"2WD"	"Gasoline"	"small car"	7	23	30	25	7	"09"
"AUDI A4"	2	4	"Auto-S6"	"4WD"	"Gasoline"	"small car"	6	21	27	23	6	"09"
"AUDI A4"	2	4	"Man-6"	"4WD"	"Gasoline"	"small car"	6	22	30	25	7	"09"
"AUDI A4"	2	4	"Auto-AV"	"2WD"	"Gasoline"	"small car"	6	23	30	25	7	"09"
"AUDI A4"	3.2	6	"Auto-S6"	"4WD"	"Gasoline"	"small car"	6	17	26	20	5	"09"
"AUDI A4"	3.2	6	"Auto-S6"	"4WD"	"Gasoline"	"small car"	6	17	26	20	5	"09"
"AUDI A4 Avant"	2	4	"Auto-S6"	"4WD"	"Gasoline"	"station wagon"	7	21	27	23	6	"09"
"AUDI A4 Avant"	2	4	"Auto-S6"	"4WD"	"Gasoline"	"station wagon"	6	21	27	23	6	"09"
"AUDI A4 Cabriolet"	2	4	"Auto-S6"	"4WD"	"Gasoline"	"small car"	7	21	27	23	6	"09"
"AUDI A4 Cabriolet"	2	4	"Auto-AV"	"2WD"	"Gasoline"	"small car"	7	23	30	25	7	"09"
"AUDI A4 Cabriolet"	2	4	"Auto-S6"	"4WD"	"Gasoline"	"small car"	6	21	27	23	6	"09"
"AUDI A4 Cabriolet"	2	4	"Auto-AV"	"2WD"	"Gasoline"	"small car"	6	23	30	25	7	"09"
"AUDI A4 Cabriolet"	3.1	6	"Auto-S6"	"4WD"	"Gasoline"	"small car"	6	17	25	20	5	"09"
"AUDI A4 Cabriolet"	3.1	6	"Auto-S6"	"4WD"	"Gasoline"	"small car"	6	17	25	20	5	"09"
"AUDI A5"	3.2	6	"Man-6"	"4WD"	"Gasoline"	"small car"	6	16	27	20	5	"09"
"AUDI A5"	3.2	6	"Auto-S6"	"4WD"	"Gasoline"	"small car"	6	17	26	20	5	"09"
"AUDI A5"	3.2	6	"Man-6"	"4WD"	"Gasoline"	"small car"	6	16	27	20	5	"09"
"AUDI A5"	3.2	6	"Auto-S6"	"4WD"	"Gasoline"	"small car"	6	17	26	20	5	"09"
"AUDI A6"	4.2	8	"Auto-S6"	"4WD"	"Gasoline"	"midsize car"	6	16	23	18	4	"09"
